# Program:featureCounts v2.0.3; Command:"featureCounts" "-T" "5" "-t" "CDS,ncRNA" "-g" "id" "-a" "../data/reference_sequences/FNV3_1_36A.gff" "-o" "../data/rna_align/counttable_fnv.txt" "../data/rna_align/ID_007556_Fnv_H2O_30_min_A.fq.gz.bam" "../data/rna_align/ID_007557_Fnv_H2O_30_min_B.fq.gz.bam" "../data/rna_align/ID_007558_Fnv_H2O_30_min_C.fq.gz.bam" "../data/rna_align/ID_007559_Fnv_PNA79_30_min_A.fq.gz.bam" "../data/rna_align/ID_007560_Fnv_PNA79_30_min_B.fq.gz.bam" "../data/rna_align/ID_007561_Fnv_PNA79_30_min_C.fq.gz.bam" "../data/rna_align/ID_007562_Fnv_PNAscr_30_min_A.fq.gz.bam" "../data/rna_align/ID_007563_Fnv_PNAscr_30_min_B.fq.gz.bam" "../data/rna_align/ID_007564_Fnv_PNAscr_30_min_C.fq.gz.bam" "../data/rna_align/ID_007574_Fnv_H2O_16_h_A.fq.gz.bam" "../data/rna_align/ID_007575_Fnv_H2O_16_h_B.fq.gz.bam" "../data/rna_align/ID_007576_Fnv_H2O_16_h_C.fq.gz.bam" "../data/rna_align/ID_007577_Fnv_PNA79_16_h_A.fq.gz.bam" "../data/rna_align/ID_007578_Fnv_PNA79_16_h_B.fq.gz.bam" "../data/rna_align/ID_007579_Fnv_PNA79_16_h_C.fq.gz.bam" "../data/rna_align/ID_007580_Fnv_PNAscr_16_h_A.fq.gz.bam" "../data/rna_align/ID_007581_Fnv_PNAscr_16_h_B.fq.gz.bam" "../data/rna_align/ID_007582_Fnv_PNAscr_16_h_C.fq.gz.bam" 
Geneid	Chr	Start	End	Strand	Length	../data/rna_align/ID_007556_Fnv_H2O_30_min_A.fq.gz.bam	../data/rna_align/ID_007557_Fnv_H2O_30_min_B.fq.gz.bam	../data/rna_align/ID_007558_Fnv_H2O_30_min_C.fq.gz.bam	../data/rna_align/ID_007559_Fnv_PNA79_30_min_A.fq.gz.bam	../data/rna_align/ID_007560_Fnv_PNA79_30_min_B.fq.gz.bam	../data/rna_align/ID_007561_Fnv_PNA79_30_min_C.fq.gz.bam	../data/rna_align/ID_007562_Fnv_PNAscr_30_min_A.fq.gz.bam	../data/rna_align/ID_007563_Fnv_PNAscr_30_min_B.fq.gz.bam	../data/rna_align/ID_007564_Fnv_PNAscr_30_min_C.fq.gz.bam	../data/rna_align/ID_007574_Fnv_H2O_16_h_A.fq.gz.bam	../data/rna_align/ID_007575_Fnv_H2O_16_h_B.fq.gz.bam	../data/rna_align/ID_007576_Fnv_H2O_16_h_C.fq.gz.bam	../data/rna_align/ID_007577_Fnv_PNA79_16_h_A.fq.gz.bam	../data/rna_align/ID_007578_Fnv_PNA79_16_h_B.fq.gz.bam	../data/rna_align/ID_007579_Fnv_PNA79_16_h_C.fq.gz.bam	../data/rna_align/ID_007580_Fnv_PNAscr_16_h_A.fq.gz.bam	../data/rna_align/ID_007581_Fnv_PNAscr_16_h_B.fq.gz.bam	../data/rna_align/ID_007582_Fnv_PNAscr_16_h_C.fq.gz.bam
HMPREF0946_RS09005	NC_022196.1	1857700	1858716	+	1017	25	29	27	45	41	66	32	36	25	6	4	1	6	2	7	2	0	0
HMPREF0946_RS09010	NC_022196.1	1858720	1860399	+	1680	55	20	20	90	109	92	41	53	22	2	6	6	8	2	5	3	7	4
HMPREF0946_RS09015	NC_022196.1	1860402	1860890	+	489	4	1	4	1	7	3	2	4	3	0	1	0	0	0	0	1	0	0
HMPREF0946_RS09020	NC_022196.1	1860896	1861741	+	846	15	3	3	3	3	2	5	5	6	0	0	0	0	2	0	0	1	0
HMPREF0946_RS09025	NC_022196.1	1861939	1862682	-	744	22	8	7	70	53	64	44	51	10	0	1	2	1	4	9	3	6	3
HMPREF0946_RS11225	NC_022196.1	1863171	1863402	-	232	71	14	34	79	66	131	57	64	26	3	4	2	7	3	9	4	4	3
HMPREF0946_RS09030	NC_022196.1	1863519	1864037	-	519	17	15	19	26	12	25	11	11	4	25	34	20	43	32	19	6	5	11
fap2	NC_022196.1	1864158	1875542	-	11385	1994	1670	2331	2870	3059	3634	1869	2227	1191	2076	3826	1743	4013	2741	1991	1309	1438	1569
HMPREF0946_RS09040	NC_022196.1	1875751	1877169	-	1419	687	599	733	882	938	1040	598	679	558	1993	2484	2067	2883	2003	1888	1329	1205	1210
ftsZ	NC_022196.1	1877346	1878428	-	1083	455	652	1119	640	1069	909	409	400	312	1010	1851	838	1957	1326	824	534	553	721
ftsA	NC_022196.1	1878451	1879791	-	1341	298	371	511	385	506	491	231	196	189	1000	1570	792	1658	1158	758	481	522	639
HMPREF0946_RS09055	NC_022196.1	1879788	1880498	-	711	81	108	110	82	107	110	54	61	44	291	485	263	491	323	202	139	127	148
HMPREF0946_RS09060	NC_022196.1	1880511	1881374	-	864	155	132	148	235	200	290	141	181	68	367	632	301	714	512	380	218	215	211
murB	NC_022196.1	1881389	1882234	-	846	80	80	98	95	120	91	52	45	35	1035	1543	855	1588	1091	766	416	395	635
murC	NC_022196.1	1882231	1883613	-	1383	630	447	521	690	638	813	495	481	596	996	1486	833	1623	1086	813	528	526	604
murG	NC_022196.1	1883618	1884682	-	1065	55	43	73	61	73	96	33	39	32	258	328	179	333	190	137	121	109	131
murD	NC_022196.1	1884692	1885990	-	1299	33	28	27	30	76	41	22	10	12	148	242	154	194	154	87	76	62	60
mraY	NC_022196.1	1885990	1887075	-	1086	282	232	293	385	425	535	224	287	209	1010	1936	996	2061	1365	1108	1047	1027	1006
gmhB	NC_022196.1	1887339	1889162	-	1824	137	164	175	142	240	236	89	116	88	1175	1512	1402	1282	789	683	712	633	634
HMPREF0946_RS09095	NC_022196.1	1889322	1890731	-	1410	229	170	191	205	263	280	133	182	142	462	577	429	560	363	296	182	162	207
pdxS	NC_022196.1	1890839	1891681	+	843	3349	4721	5901	4496	5922	5377	2490	2395	1734	8648	1111	9000	1426	939	909	518	412	517
HMPREF0946_RS09105	NC_022196.1	1891773	1892057	-	285	718	945	1256	871	1159	1023	805	453	327	135	275	149	289	193	102	100	85	105
HMPREF0946_RS09110	NC_022196.1	1892118	1892963	-	846	101	96	147	112	133	153	64	80	64	50	127	39	134	63	75	50	44	43
HMPREF0946_RS09115	NC_022196.1	1892978	1893469	-	492	33	24	26	31	40	63	26	25	22	24	41	10	62	51	37	12	8	20
HMPREF0946_RS09120	NC_022196.1	1893480	1895231	-	1752	144	112	112	149	172	193	140	112	92	43	139	24	152	103	79	50	50	56
HMPREF0946_RS09125	NC_022196.1	1895241	1895621	-	381	22	19	13	17	28	25	15	31	22	11	21	12	24	13	13	5	7	4
HMPREF0946_RS09130	NC_022196.1	1895618	1896133	-	516	36	42	43	34	72	42	17	16	18	52	155	28	177	101	100	56	27	48
HMPREF0946_RS09135	NC_022196.1	1896282	1897157	+	876	69	85	53	73	78	70	44	42	59	116	225	144	208	159	130	113	159	169
HMPREF0946_RS09140	NC_022196.1	1897158	1897418	+	261	203	138	163	190	146	244	146	137	252	58	72	27	70	53	42	19	37	33
HMPREF0946_RS09145	NC_022196.1	1897702	1898289	-	588	21	27	36	45	49	54	18	33	12	86	111	42	95	95	54	46	33	51
HMPREF0946_RS09150	NC_022196.1	1898291	1899613	-	1323	112	106	167	117	134	115	60	60	69	935	2051	801	1921	1316	940	867	907	1077
HMPREF0946_RS09155	NC_022196.1	1899625	1902666	-	3042	116	93	99	157	148	183	79	121	62	163	224	125	227	186	135	68	73	66
HMPREF0946_RS09160	NC_022196.1	1902684	1904462	-	1779	201	179	229	218	240	307	107	152	161	414	419	774	873	483	438	177	198	192
HMPREF0946_RS09165	NC_022196.1	1904459	1905463	-	1005	16	30	26	29	35	27	15	21	9	84	92	53	87	58	43	27	29	26
HMPREF0946_RS09170	NC_022196.1	1905592	1907154	-	1563	134	151	163	241	218	261	118	142	117	288	361	226	361	261	162	104	120	121
HMPREF0946_RS09175	NC_022196.1	1907404	1908552	+	1149	17	11	17	9	17	22	14	13	8	155	91	105	100	70	61	41	27	43
HMPREF0946_RS09180	NC_022196.1	1908570	1909571	+	1002	11	8	12	13	12	21	15	18	11	38	30	22	40	33	30	7	9	11
HMPREF0946_RS09185	NC_022196.1	1909590	1910573	+	984	18	11	10	18	18	24	11	17	16	109	50	84	64	40	34	28	18	25
HMPREF0946_RS09190	NC_022196.1	1910597	1912450	+	1854	2464	1595	1627	2704	2301	3215	1886	2363	2189	258	390	247	372	182	266	204	268	210
HMPREF0946_RS09195	NC_022196.1	1912454	1913329	+	876	767	486	495	900	758	1095	619	850	433	192	287	209	267	144	154	122	138	112
HMPREF0946_RS09200	NC_022196.1	1913352	1914224	+	873	13	18	7	15	15	24	8	13	9	36	54	32	54	48	33	25	24	21
HMPREF0946_RS09205	NC_022196.1	1914239	1914913	+	675	21	19	22	35	29	55	15	25	21	47	54	52	61	42	29	12	14	35
HMPREF0946_RS09210	NC_022196.1	1915058	1915945	+	888	108	123	330	158	244	238	70	91	44	407	679	389	719	465	258	215	201	272
HMPREF0946_RS09215	NC_022196.1	1916025	1916357	-	333	297	653	758	594	879	724	321	307	175	1352	2706	1024	3095	2101	1174	732	606	778
HMPREF0946_RS09220	NC_022196.1	1916394	1916981	-	588	21	25	19	18	14	35	9	13	9	72	131	52	127	74	48	43	33	36
mgtE	NC_022196.1	1917005	1918336	-	1332	78	92	87	95	148	164	76	64	41	390	656	375	636	466	412	299	318	351
tgt	NC_022196.1	1918568	1919689	-	1122	635	429	523	670	560	827	417	553	391	375	678	359	666	440	342	268	295	327
HMPREF0946_RS09235	NC_022196.1	1919704	1921878	-	2175	75	101	115	145	202	177	86	72	87	333	512	278	517	359	296	176	154	207
HMPREF0946_RS09240	NC_022196.1	1921897	1922409	-	513	132	91	91	145	103	170	81	101	78	95	191	67	159	107	89	44	54	62
HMPREF0946_RS09245	NC_022196.1	1922424	1923221	-	798	11	26	20	17	20	41	6	17	10	35	110	41	102	57	47	20	30	44
HMPREF0946_RS09250	NC_022196.1	1923236	1923907	-	672	43	30	59	58	57	98	40	48	36	70	193	74	229	135	102	58	78	80
HMPREF0946_RS09255	NC_022196.1	1923904	1925184	-	1281	105	101	145	154	202	158	59	93	49	513	803	361	652	478	284	207	201	266
HMPREF0946_RS09260	NC_022196.1	1925405	1925866	-	462	110	83	108	109	140	133	68	99	70	163	313	153	305	158	164	131	91	147
HMPREF0946_RS09265	NC_022196.1	1925882	1926733	-	852	62	89	115	95	112	122	39	40	46	280	607	248	513	359	261	180	193	240
HMPREF0946_RS09270	NC_022196.1	1926727	1927659	-	933	129	84	110	154	148	168	105	104	108	131	243	147	274	187	120	86	80	104
nrdR	NC_022196.1	1927680	1928129	-	450	23	27	45	40	46	60	12	15	11	169	220	104	241	169	108	55	68	86
HMPREF0946_RS09280	NC_022196.1	1928148	1928621	-	474	44	55	84	49	53	66	44	33	25	135	393	121	468	266	159	139	183	155
recO	NC_022196.1	1928615	1929316	-	702	29	30	44	35	51	34	8	20	23	116	283	128	246	180	115	95	99	107
HMPREF0946_RS09290	NC_022196.1	1929327	1929905	-	579	67	63	88	63	94	91	33	56	45	134	267	138	320	215	131	87	98	113
mreC	NC_022196.1	1929902	1930768	-	867	168	141	169	215	302	175	118	113	64	494	771	433	760	558	323	181	201	227
HMPREF0946_RS09300	NC_022196.1	1931155	1932339	-	1185	152	145	105	145	140	191	95	96	89	200	444	287	410	276	263	269	259	277
HMPREF0946_RS09305	NC_022196.1	1932764	1933663	+	900	614	819	1311	892	1137	943	366	491	466	828	1702	839	1543	987	769	732	1033	856
cbpF	NC_022196.1	1933848	1935263	+	1416	2919	3985	5185	4264	5450	5047	2060	2424	1485	7670	5984	5998	6466	4144	3141	1890	1863	2068
HMPREF0946_RS09315	NC_022196.1	1935320	1936024	-	705	199	179	251	193	199	238	132	155	165	99	100	70	92	76	49	32	46	60
HMPREF0946_RS09320	NC_022196.1	1936025	1936807	-	783	9	1	10	8	4	10	8	9	5	1	4	4	6	2	0	0	5	0
HMPREF0946_RS09325	NC_022196.1	1936804	1937607	-	804	19	9	14	8	11	14	9	14	18	7	7	4	12	7	6	3	5	8
HMPREF0946_RS09330	NC_022196.1	1937600	1938529	-	930	32	30	36	79	136	58	30	50	33	66	85	89	76	63	40	48	63	62
nikA	NC_022196.1	1938544	1940148	-	1605	117	80	104	101	140	177	52	59	72	154	206	132	192	145	116	88	102	108
HMPREF0946_RS09340	NC_022196.1	1940558	1941019	+	462	41	55	63	57	62	61	36	34	24	216	492	217	408	248	135	150	256	190
ribD	NC_022196.1	1941021	1942130	+	1110	377	247	297	636	631	781	412	559	283	501	1913	633	1467	792	771	739	1263	917
ribE	NC_022196.1	1942331	1942987	+	657	16	37	45	36	44	61	24	28	17	91	183	60	153	71	61	47	60	69
HMPREF0946_RS09355	NC_022196.1	1942997	1944196	+	1200	151	244	264	160	323	218	118	153	77	444	775	422	688	455	293	186	223	206
HMPREF0946_RS09360	NC_022196.1	1944362	1945489	+	1128	38	44	54	60	79	42	46	34	19	47	88	47	138	54	46	30	40	38
HMPREF0946_RS09365	NC_022196.1	1945514	1947082	+	1569	59	29	53	43	48	36	38	47	35	62	105	41	115	59	56	23	37	61
HMPREF0946_RS09370	NC_022196.1	1947122	1947316	-	195	110	116	195	152	186	157	66	90	58	328	306	607	382	225	247	270	250	191
HMPREF0946_RS09375	NC_022196.1	1947334	1949913	-	2580	162	207	317	212	321	301	159	162	118	660	1009	645	973	607	482	296	302	376
HMPREF0946_RS09380	NC_022196.1	1949919	1950533	-	615	315	251	298	373	342	458	276	290	134	144	224	111	211	134	120	64	76	90
rlmB	NC_022196.1	1950544	1951248	-	705	40	23	48	57	62	58	32	18	18	208	467	132	457	305	196	160	162	208
murA	NC_022196.1	1951258	1952529	-	1272	141	223	256	185	217	187	95	96	50	594	736	457	828	615	432	247	245	295
HMPREF0946_RS09395	NC_022196.1	1952856	1953794	+	939	78	46	42	60	46	62	40	56	50	114	170	103	170	118	115	83	74	57
HMPREF0946_RS09400	NC_022196.1	1953795	1954625	+	831	12	7	12	7	17	20	5	19	6	42	45	38	42	35	26	18	21	27
HMPREF0946_RS09405	NC_022196.1	1954675	1956255	+	1581	44	48	56	67	52	97	57	58	43	59	71	41	58	39	48	15	29	22
HMPREF0946_RS09410	NC_022196.1	1956267	1957052	+	786	220	120	146	365	266	415	259	249	107	145	254	215	199	150	138	106	84	135
HMPREF0946_RS09415	NC_022196.1	1957033	1958019	+	987	70	54	62	64	66	77	47	51	28	33	67	24	77	45	34	19	27	40
radD	NC_022196.1	1958167	1968606	-	10440	1045	646	615	1124	974	1510	814	1103	928	110	233	103	201	127	141	122	112	86
HMPREF0946_RS09425	NC_022196.1	1968619	1969008	-	390	5	7	5	11	18	10	4	4	3	8	5	3	7	8	6	1	6	3
HMPREF0946_RS09430	NC_022196.1	1969024	1969416	-	393	19	11	16	29	14	16	12	13	9	10	10	7	7	2	7	2	4	0
HMPREF0946_RS09435	NC_022196.1	1969429	1969800	-	372	13	26	15	17	11	27	9	17	2	34	46	20	37	36	16	6	16	14
HMPREF0946_RS09440	NC_022196.1	1970322	1971029	-	708	334	455	690	497	650	618	212	336	329	1441	1281	1374	1490	1032	816	699	692	802
HMPREF0946_RS09445	NC_022196.1	1971022	1971405	-	384	33	33	36	49	44	33	14	25	42	444	298	478	355	257	231	166	173	206
HMPREF0946_RS09450	NC_022196.1	1971436	1972407	-	972	69	75	111	82	109	110	53	56	63	607	428	504	458	338	219	105	113	169
HMPREF0946_RS09455	NC_022196.1	1972419	1973198	-	780	50	57	51	56	88	75	46	55	33	735	676	549	627	437	320	189	177	226
HMPREF0946_RS09460	NC_022196.1	1973210	1974346	-	1137	82	108	113	86	137	136	47	75	63	1147	629	816	644	441	356	195	168	243
HMPREF0946_RS09465	NC_022196.1	1974378	1975805	-	1428	97	58	120	111	134	127	78	77	73	1702	1111	1373	1162	760	664	336	280	414
HMPREF0946_RS09470	NC_022196.1	1976084	1977250	-	1167	106	100	129	139	214	183	63	101	95	629	734	605	754	505	414	280	297	297
HMPREF0946_RS09475	NC_022196.1	1977247	1978437	-	1191	135	144	177	151	207	221	79	103	85	1785	1957	1439	2076	1386	1011	637	594	703
HMPREF0946_RS09480	NC_022196.1	1978650	1979201	+	552	163	93	137	218	229	266	129	163	106	899	678	798	766	530	394	243	270	271
HMPREF0946_RS09485	NC_022196.1	1979243	1981402	+	2160	204	192	297	225	268	291	137	152	234	725	623	600	692	462	296	190	214	226
HMPREF0946_RS09490	NC_022196.1	1981403	1982383	+	981	60	34	49	72	89	87	42	69	38	157	178	129	191	115	84	52	50	65
HMPREF0946_RS09495	NC_022196.1	1982380	1983303	+	924	58	54	110	57	95	61	45	31	40	315	669	298	593	456	302	347	368	386
HMPREF0946_RS09500	NC_022196.1	1983305	1984000	+	696	33	28	47	35	45	42	17	16	16	489	390	553	331	180	158	188	135	163
HMPREF0946_RS09505	NC_022196.1	1984023	1985318	+	1296	207	246	238	254	233	287	133	159	190	761	905	717	943	606	420	307	357	429
HMPREF0946_RS09510	NC_022196.1	1985321	1985605	+	285	431	395	621	463	597	713	366	384	376	988	756	1185	722	495	363	336	308	376
HMPREF0946_RS09520	NC_022196.1	1988029	1989498	-	1470	136	188	265	191	277	246	113	97	116	820	779	658	853	570	407	267	280	348
HMPREF0946_RS09525	NC_022196.1	1989742	1990161	+	420	296	313	336	245	388	379	158	169	246	1021	1613	960	1842	1235	1040	732	786	839
HMPREF0946_RS09530	NC_022196.1	1990180	1991064	+	885	361	483	674	509	768	713	266	299	246	689	1171	629	1305	877	578	394	337	434
HMPREF0946_RS11370	NC_022196.1	1991426	1992091	-	666	294	410	847	414	682	553	191	236	166	726	1769	797	1637	980	630	554	731	856
secY	NC_022196.1	1992378	1993658	-	1281	821	809	1290	992	1210	1257	535	534	479	1215	1353	1251	1593	1031	947	971	908	889
rplO	NC_022196.1	1993683	1994162	-	480	209	187	281	257	371	295	154	145	159	481	350	422	370	265	262	159	111	165
rpmD	NC_022196.1	1994162	1994347	-	186	21	17	29	34	45	22	17	10	15	116	74	91	88	49	40	29	19	19
rpsE	NC_022196.1	1994360	1994854	-	495	109	146	222	158	200	183	110	87	70	403	298	305	330	273	161	103	101	141
rplR	NC_022196.1	1994878	1995246	-	369	69	86	88	95	140	122	55	52	40	318	220	258	202	144	160	86	94	110
rplF	NC_022196.1	1995273	1995806	-	534	89	55	120	86	118	108	50	62	67	278	182	204	222	156	110	76	56	76
rpsH	NC_022196.1	1995831	1996229	-	399	86	115	199	76	153	162	63	65	90	593	476	481	494	369	263	165	143	137
rpsN	NC_022196.1	1996258	1996545	-	288	76	109	121	90	127	108	50	42	48	488	342	392	317	224	217	109	80	128
rplE	NC_022196.1	1996566	1997117	-	552	76	88	120	66	115	140	54	64	55	403	284	289	309	246	199	118	72	115
rplX	NC_022196.1	1997136	1997477	-	342	37	45	73	46	50	56	41	23	29	388	169	275	183	141	111	42	33	58
rplN	NC_022196.1	1997502	1997870	-	369	141	148	161	145	187	218	108	108	99	470	273	379	262	225	131	78	69	95
rpsQ	NC_022196.1	1997899	1998150	-	252	40	46	73	41	73	78	23	28	13	193	145	152	177	114	72	37	58	79
rpmC	NC_022196.1	1998186	1998368	-	183	19	26	39	17	46	41	17	17	9	123	48	76	51	55	30	19	19	27
rplP	NC_022196.1	1998368	1998793	-	426	87	106	190	108	187	200	69	65	69	369	224	281	273	199	158	73	75	76
rpsC	NC_022196.1	1998796	1999455	-	660	83	125	166	105	186	158	91	81	57	628	529	504	515	396	309	175	134	199
rplV	NC_022196.1	1999474	1999809	-	336	46	77	91	54	99	116	64	55	62	814	361	616	392	292	178	107	99	129
rpsS	NC_022196.1	1999843	2000118	-	276	148	95	122	142	204	212	116	143	103	253	124	201	129	81	79	39	43	83
rplB	NC_022196.1	2000143	2000973	-	831	185	196	296	252	368	317	201	142	129	1213	979	961	1054	707	494	317	227	340
rplW	NC_022196.1	2001016	2001303	-	288	38	21	31	34	46	46	18	22	19	151	127	116	98	81	48	29	27	29
rplD	NC_022196.1	2001303	2001932	-	630	101	172	238	109	214	194	70	76	75	880	567	678	592	433	332	198	188	204
rplC	NC_022196.1	2001952	2002587	-	636	319	256	436	339	378	431	217	243	156	1428	985	1021	1090	787	606	310	263	373
rpsJ	NC_022196.1	2002735	2003046	-	312	1012	1193	1508	1194	1471	1400	639	584	645	4288	5886	4209	6694	4489	3959	2927	3078	2776
HMPREF0946_RS09650	NC_022196.1	2003292	2003738	+	447	1528	1995	2411	1835	2272	2477	984	1184	956	3498	4810	3763	4912	3381	2708	2343	2535	2446
HMPREF0946_RS09655	NC_022196.1	2003889	2004389	+	501	128	145	155	122	158	150	92	87	88	595	741	533	828	607	525	367	367	364
HMPREF0946_RS09660	NC_022196.1	2004417	2004815	+	399	77	83	94	62	123	91	52	45	53	202	925	212	951	610	475	339	369	419
HMPREF0946_RS09665	NC_022196.1	2004835	2005218	+	384	222	300	460	287	460	352	165	140	142	427	543	294	642	426	263	178	203	234
HMPREF0946_RS09670	NC_022196.1	2005276	2006028	-	753	29	55	91	62	86	97	21	28	23	78	117	90	112	64	54	42	35	59
HMPREF0946_RS09675	NC_022196.1	2006038	2006826	-	789	17	20	26	24	19	29	10	6	22	57	55	42	50	35	39	30	16	24
HMPREF0946_RS09680	NC_022196.1	2006829	2007590	-	762	22	13	24	26	38	42	21	23	23	92	343	104	293	185	203	141	203	207
HMPREF0946_RS09685	NC_022196.1	2007587	2008498	-	912	40	47	40	70	49	78	34	35	47	319	523	262	468	296	252	243	287	304
HMPREF0946_RS09690	NC_022196.1	2008757	2010256	-	1500	261	192	197	278	284	333	159	174	153	748	1302	866	1024	662	668	439	499	466
HMPREF0946_RS09695	NC_022196.1	2010346	2011683	-	1338	21	24	38	37	45	43	17	17	24	266	397	295	368	280	227	195	203	168
HMPREF0946_RS09700	NC_022196.1	2011879	2012558	-	680	57	66	172	94	119	107	29	22	18	60	86	46	116	58	33	27	16	23
HMPREF0946_RS09705	NC_022196.1	2012696	2014258	+	1563	1601	2819	3310	2345	3505	3328	1227	1164	926	132	484	127	399	265	140	93	151	160
HMPREF0946_RS09710	NC_022196.1	2014313	2014531	-	219	1020	1278	2129	1293	2100	1752	784	608	629	2186	1803	1924	2212	1485	1041	577	494	625
rpsF	NC_022196.1	2014577	2014861	-	285	556	690	507	497	800	723	409	377	247	1690	1866	1638	2054	1421	1154	801	670	663
HMPREF0946_RS09720	NC_022196.1	2014960	2016663	-	1704	199	285	308	244	356	354	157	160	121	779	1034	613	1083	779	509	317	276	329
recG	NC_022196.1	2016894	2018963	-	2070	156	178	185	181	182	221	93	121	86	533	887	485	876	581	483	319	344	414
HMPREF0946_RS09730	NC_022196.1	2019017	2019766	-	750	2509	1871	2148	2722	2595	3183	1853	2283	2841	873	1896	763	1913	1301	1176	701	777	738
HMPREF0946_RS09735	NC_022196.1	2019941	2020426	-	486	18	7	4	11	13	7	9	8	3	1	1	1	6	0	1	0	0	0
HMPREF0946_RS09740	NC_022196.1	2020782	2021117	+	336	111	181	168	139	213	210	91	90	87	474	882	443	914	571	380	240	275	313
HMPREF0946_RS09745	NC_022196.1	2021110	2021481	+	372	34	47	54	65	61	66	19	29	20	301	554	321	597	432	291	126	165	164
HMPREF0946_RS09750	NC_022196.1	2021491	2021844	+	354	283	223	292	299	347	381	218	273	187	503	712	544	564	436	379	245	282	368
HMPREF0946_RS09755	NC_022196.1	2021889	2023088	-	1200	1376	1042	1224	1761	1570	1964	1126	1288	1200	696	1105	586	1131	762	534	370	461	435
HMPREF0946_RS09760	NC_022196.1	2023107	2023328	-	222	0	0	0	0	2	2	0	2	0	0	0	0	1	0	0	0	0	0
HMPREF0946_RS09765	NC_022196.1	2023690	2025114	-	1425	166	79	86	241	243	302	147	227	53	9	14	9	12	8	20	17	14	8
HMPREF0946_RS09770	NC_022196.1	2025229	2026632	-	1404	16	5	7	30	15	14	15	11	5	1	2	0	1	0	2	0	0	1
HMPREF0946_RS09775	NC_022196.1	2026642	2028106	-	1465	72	41	48	88	79	130	58	68	63	9	6	4	12	8	7	3	0	4
HMPREF0946_RS10960	NC_022196.1	2028237	2030642	-	2406	89	49	61	148	85	154	89	102	79	7	4	3	6	7	11	12	13	10
HMPREF0946_RS09785	NC_022196.1	2030655	2031818	-	1164	11	10	21	24	26	32	14	27	15	1	0	3	10	4	4	1	5	3
HMPREF0946_RS09790	NC_022196.1	2031839	2033071	-	1233	19	6	13	21	12	20	17	11	13	3	5	0	3	0	0	1	5	4
HMPREF0946_RS09795	NC_022196.1	2033092	2034258	-	1167	144	53	59	206	205	253	149	187	47	11	14	8	12	8	15	21	18	10
HMPREF0946_RS09800	NC_022196.1	2034274	2035407	-	1134	13	21	15	15	10	19	11	12	18	0	1	2	4	1	1	1	1	1
wecB	NC_022196.1	2035424	2036551	-	1128	339	174	154	1769	1547	1822	1268	1542	294	4	18	20	72	30	130	98	131	68
HMPREF0946_RS09810	NC_022196.1	2036555	2037661	-	1107	20	6	16	25	15	26	16	12	10	1	1	3	1	1	1	2	2	0
HMPREF0946_RS09815	NC_022196.1	2037661	2038683	-	1023	11	5	2	19	6	22	10	11	8	0	2	1	0	0	2	3	0	2
HMPREF0946_RS09820	NC_022196.1	2038697	2039866	-	1170	203	114	150	304	219	316	172	215	231	10	7	14	13	7	18	15	25	4
HMPREF0946_RS09825	NC_022196.1	2039880	2040485	-	606	10	9	8	9	11	3	5	5	6	1	5	1	1	1	0	0	1	1
HMPREF0946_RS09830	NC_022196.1	2040478	2041134	-	657	262	141	115	315	269	327	187	275	153	8	20	6	14	20	19	23	15	14
HMPREF0946_RS09835	NC_022196.1	2041131	2042291	-	1161	14	10	13	25	42	31	14	16	17	7	7	5	11	7	6	5	7	3
HMPREF0946_RS09840	NC_022196.1	2042293	2044104	-	1812	38	23	26	63	57	76	42	42	30	3	9	12	6	2	1	3	4	3
HMPREF0946_RS09845	NC_022196.1	2044121	2045121	-	1001	11	5	7	9	13	7	10	8	3	3	0	1	3	0	2	1	1	5
rfbD	NC_022196.1	2045133	2046611	-	1479	210	380	374	268	461	389	165	130	115	1283	1912	1162	2074	1354	1028	657	617	739
HMPREF0946_RS09860	NC_022196.1	2046672	2047487	-	816	85	109	142	101	120	143	60	61	53	334	544	301	647	411	379	240	229	255
rfaD	NC_022196.1	2047508	2048506	-	999	789	728	908	813	1013	1135	613	766	676	2150	2219	1602	2599	1850	1350	749	570	752
fplA	NC_022196.1	2048699	2050981	+	2283	406	207	239	433	461	547	273	350	216	335	441	265	443	309	230	143	153	137
HMPREF0946_RS09875	NC_022196.1	2050997	2051761	+	765	26	20	35	52	42	52	26	20	23	111	189	90	209	157	103	77	98	109
HMPREF0946_RS09880	NC_022196.1	2051778	2052752	+	975	43	55	50	30	62	78	20	30	28	62	75	63	119	75	51	43	37	48
pnp	NC_022196.1	2052851	2054950	+	2100	238	286	345	304	377	357	178	192	132	1018	1283	775	1465	991	776	482	479	536
pgsA	NC_022196.1	2054967	2055530	+	564	34	29	47	55	55	39	25	19	25	96	135	67	166	116	100	76	93	63
HMPREF0946_RS09895	NC_022196.1	2055544	2055819	+	276	89	83	57	57	119	84	51	56	49	128	315	219	275	193	138	184	199	198
rsmH	NC_022196.1	2056074	2057018	+	945	243	150	166	246	254	324	143	230	241	64	149	68	129	88	77	46	46	58
HMPREF0946_RS09905	NC_022196.1	2057020	2057277	+	258	118	98	90	157	175	190	117	166	107	32	35	20	31	25	42	30	23	26
rlmD	NC_022196.1	2057279	2058631	+	1353	69	67	103	80	112	126	60	48	62	149	253	117	301	170	115	78	89	111
HMPREF0946_RS09915	NC_022196.1	2058811	2060103	+	1293	14	8	10	16	16	23	13	7	12	4	1	3	1	0	4	0	0	2
